scene	summary
s01e05_scene002_0449_0457	"Leonard and Lesley are going to meet up with Lesley and Leonard. They are good to go. They will meet up soon..
"
s01e16_scene007_0903_0923	"Penny got a former fat girl with no self-esteem. A girl who punishes her father by sleeping around. An alcoholic who's two tequila shots away from letting you wear her like a hat.
"
s01e02_scene004_0513_0532	Sheldon? Hello?
s01e02_scene000_0082_0102	"Penny hasn't been told how beautiful she is in Russian, so she probably won't get used to it. Raj is still not talking to Sheldon.
"
s01e03_scene005_0636_0656	"Leonard is going to name his cat after Einstein, Newton and Sergeant Fuzzy Boots. Sheldon has asthma and needs a scratching post. Leonard has taken his asthma into account.
"
s01e04_scene005_0413_0433	"Penny doesn't want to hear an interesting thing about tomatoes. Sheldon is in the real world of ordinary people living their ordinary, colorless, work-a-day lives.
"
s01e17_scene004_0536_0556	"Penny threw an 80-gig iPod at a man who had a woman's legs wrapped around his neck. Penny is done with macho guys like that.
"
s01e16_scene007_0783_0803	"Howard's throwing a surprise party for his friend. He's supposed to keep him out for two hours, but he's allergic to peanuts. The only way to get him to leave was to tell him he ate a peanut.
"
s01e04_scene012_1171_1176	"Leonard and Sheldon discuss Sheldon's project. It involves a part of the human experience that has always eluded Sheldon and has always been elusive to him. They agree it's about human experience.
"
s01e14_scene004_0490_0510	"Leonard, Raj and Penny had fun. Penny slipped and skinned her knee. Penny had to crawl through the window of an Armenian family to get to the stairwell.
"
s01e07_scene004_0978_0998	"It's 'Halo' night. Wolowitz is spending all of his time with Penny's friend Christy. Penny doesn't like that because Christy is not her friend.
"
s01e03_scene002_0362_0382	"Leonard would pick Lesley up, take her to a restaurant, then they would see a movie, probably a romantic comedy featuring Hugh Grant or Sandra Bullock.
"
s01e03_scene006_0728_0748	"Penny and Leonard are having supper for dinner tonight, but they are not sure if it's supper or dinner. It's the largest meal of the day, which is supper.
"
s01e16_scene000_0047_0067	"Leonard's birthday is on Saturday. Penny did Leonard's horoscope. He can't eat cheesecake, but he can have carrot cake and cream-cheese frosting.
"
s01e17_scene007_1102_1106	All right, the cat's alive. Let's go to dinner.
s01e07_scene003_0875_0895	"Sheldon's annoying little friend thinks he speaks Mandarin. Waiter is from Sacramento. Sheldon's friend is putting his needs ahead of the collective good.
"
s01e06_scene004_0977_0997	"The cultural convention is to bring hot beverages to upset people when they are upset. Sheldon will talk to Leonard about it later, when they have a chance.
"
s01e06_scene003_0735_0755	"Leonard is closer to Kurt than Sheldon, because he's closer to a paradigm shift in society. Kurt would have been entitled to his choice of female partners and male partners.
"
s02e04_scene004_0735_0755	"Penny and Raj are going to raise the roof tonight. Leonard saw Raj's limo downstairs and is coming up the stairs to join them. Penny and Raj look nice.
"
s01e12_scene004_0503_0523	"Howard and Sheldon are making a small payload support structure for a European science experimental package for the next space shuttle. It will be attached to the payload bay and the sensor apparatus will rest on it.
"
s01e12_scene001_0244_0255	"Sheldon was 14 and a half years old when he won it. He was the youngest ever to win it. Leonard thinks it's like looking in a mirror.
"
s01e09_scene002_0371_0391	"Leonard and Sheldon are still not talking to each other. Sheldon is doing a thing where he stares at you and tries to get your brain to explode.
"
s01e15_scene008_1129_1149	"Penny is worried that Missy's medication is wearing off. Missy was hoping Penny would show up, but she didn't. She didn't show up.
"
s02e14_scene005_0906_0922	"Leonard will make his own quest on his own. Howard wants him to take a jacket from a big man, but Leonard doesn't want to take it.
"
s01e04_scene013_1199_1202	Mrs We'll see. Sleep tight.
s01e15_scene001_0196_0216	"Missy came to Anaheim to drop off some papers for Shelly to sign for her dad's estate. Sheldon suspects that his mom sent her to spy on him.
"
s01e06_scene003_0375_0395	"Penny starts a party at 7 and no one shows up at 7. Penny thinks all the girls are in their own homes. Sheldon will come in.
"
s01e08_scene002_0615_0635	"Raj is about to tell his parents that he's not going to get married to Lalita Gupta. Penny wants him to meet with a girl and see what happens.
"
s01e12_scene002_0379_0380	I'm confused again. Is he waiting, or do we get to shoot him between the eyes?
s02e11_scene004_0747_0767	"David and Penny are going to do an experiment on tequila shots on a 22-year-old woman. Leonard is worried that dark matter is not going to detect itself.
"
s01e06_scene003_0555_0575	"Howard has a transient idiopathic arrhythmia. Raj has difficulty speaking to women and around effeminate men. Howard has a stethoscope.
"
s01e03_scene007_0817_0837	"Leonard is perspiring, but Sheldon can't tell it from the photo. The dark crescent-shaped patterns under Leonard's arms conceal it.
"
s01e03_scene007_0997_0998	Stop asking me all these questions. I need to take another shower.
s02e04_scene003_0492_0512	"Raj has been to a People magazine photo shoot. Leonard and Howard haven't been to one. It's fantastic. They shot Raj in front of a starry background.
"
s01e08_scene003_0766_0786	"Penny wants Virgin diet Cuba Libre in a tall glass with a lime wedge. Sheldon didn't want to come because he didn't like the last girl his mom set him up with.
"
s01e03_scene004_0578_0598	"Mrs. Tishman's got her eye on Leonard. He's in for a treat.Class instructor reminds Leonard to do Latin hips. He should stay still.
"
s01e08_scene001_0277_0297	"Sheldon needs to cancel his membership to the planetarium as he doesn't have room for it in his wallet. The Museum of Natural History has no dinosaurs.
"
s01e04_scene000_0063_0083	"Dr. Gablehauser has written no original research in 25 years and instead has written books that reduce the great concepts of science to anecdotes. Sheldon is pleased to be hired by the university.
"
s02e14_scene006_1045_1065	"Leonard doesn't want to leave without Penny's money. He doesn't need a backup. He has cargo shorts under his pants and he's wearing cargo shorts.
"
s01e13_scene000_0102_0122	"Leonard, Sheldon and Penny will play bridge, hold up a huppah, enter the Olympic bobsled competition and go to the Olympics. Penny will buy the tickets.
"
s01e11_scene007_0889_0907	"Leonard has a problem with his eyes. He will have Lasik surgery. He is thinking of going back to Sheldon and having a laser beam to fix them.
"
s01e10_scene000_0162_0182	"Leonard lied to Penny and she didn't show any physiological response. Sheldon thinks that lying while lying is characteristic of a violent sociopath. Leonard is not worried about Sheldon's safety.
"
s01e10_scene000_0182_0188	"Sheldon doesn't want Leonard to kill him, because he would have done it a long time ago. Leonard thinks that's true, but Sheldon disagrees.
"
s01e09_scene003_0631_0651	"Sheldon couldn't poop this morning. Penny suggests he should talk to him about it. Sheldon is not sure if it's an issue of physiological manifestations or some sort of unconscious emotional turmoil.
"
s01e04_scene009_0874_0894	"Leonard and Mrs Cooper's dog hated a death ray that was called by their dog. Mrs Cooper and Leonard are not a couple, they are just two singles.
"
s01e08_scene000_0190_0210	"Raj's parents are trying to marry him off to a stranger. Sheldon and Leonard think it's a cultural aspiration to have one's children enter the medical profession in India.
"
s01e05_scene003_0550_0570	"Sheldon booked a cruise to the Arctic to see a solar eclipse. He didn't have to leave the state because his roommate was having sex. Sheldon's roommate was Leonard.
"
s01e07_scene002_0642_0662	"Penny slept all day. Sheldon's cereal has lost all its molecular integrity and he now has a bowl of shredded wheat paste. Penny and Leonard hate sleep.
"
s01e17_scene002_0344_0364	"Penny and Leonard were making out in a Subway sandwich shop. It's not a health code violation, because they were only making out. Leonard is not embarrassed about it.
"
s01e12_scene000_0046_0066	"Dr Gablehouser wants Sheldon and Leonard to meet Dennis Kim. Dennis is a highly sought-after doctoral candidate. He's 15 years old and he's only 15.
"
s01e07_scene001_0503_0523	"Leonard informs Penny that his toothbrush is the red one in the Plexiglas case under the UV light. He also tells her to sleep tight.
"
s01e04_scene012_1111_1131	"Dr. Gablehouser and Mrs Cooper haven't been introduced to Sheldon's mom, Mary Cooper. Sheldon called her an idiot in their first encounter.
"
s01e14_scene007_0870_0890	"Leonard is getting rid of all the toys he has created. He has a Darth Vader voice changer, but he will keep the Golden Age Flash.
"
s01e15_scene005_0744_0764	"Howard would kill his rabbi with a pork chop to be with Sheldon's sister, because he would kill him if it meant he could be with his sister.
"
s01e05_scene003_0590_0610	"Sheldon doesn't know whether to stay or leave. Penny is usually on the other side of the tie, so she doesn't have any advice for him.
"
s01e16_scene000_0147_0167	"Leonard had a birthday party. He got to see all his cousins and eat German chocolate cake. His grandfather had died. Leonard will tell Penny about his senior prom.
"
s01e16_scene005_0655_0673	"Howard will call Sheldon when it's out of the washer and in the dryer. Leonard and Howard are going to go and pick up the laundry.
"
s01e09_scene005_0807_0827	"Leonard and Penny are laughing at the physicist's joke that only works for spherical chickens in a vacuum. Penny has heard the joke before, but she doesn't remember it.
"
s01e17_scene001_0147_0167	Penny's emotional responses originate in the primitive portion of brain, the amygdala. While speech is centered in the recently developed neocortex. Former can overpower the latter giving scientific credence... ...to the notion of being rendered speechless. Or maybe she just doesn't wanna talk.
s01e17_scene002_0364_0384	"Penny will not call Mike and apologize for breaking the confidentiality of the bedroom and the elevator, parks and fast-food franchise. Leonard thinks she overreacted.
"
s01e15_scene002_0333_0353	Oh, yeah, no, I use those... ...just to polish up my spearfishing equipment. I spearfish. When I'm not crossbow hunting, I spearfish. Penny, this is Sheldon's twin sister. Missy, this is our neighbor Penny.
s01e11_scene004_0574_0594	"Sheldon has a febrile delirium. He will have soup delivered to his home, because he has an IQ of 187, but he didn't think of it.
"
s01e13_scene000_0062_0082	"Fishman, Chen, Chaudury and McNair won't be fielding a team in the Physics Bowl this year. They formed a barbershop quartet and got a gig playing Knott's Berry Farm.
"
s01e08_scene000_0150_0170	"Mrs Koothrappali and Sheldon don't want to meddle in Raj's love life, but they have to go. Raj is confused about their culture.
"
s01e15_scene006_0833_0853	"Sheldon is an improvement on the existing mediocre stock. Missy is the potential for another Sheldon 2.0, who will be even taller, smarter and less prone to freckling.
"
s01e16_scene005_0595_0615	Here you go, Copenhagen boy. How about a taste of Hans Christian hand grenade? (EXPLOSION ON TV) (MOUTHING) LEONARD That could not feel good. Come on, come on. Oh, you clever... Come on, come on.
s02e14_scene005_0846_0866	"Leonard wants to go on an adventure by himself, but Sheldon and Raj will let him go by himself. Sheldon reminds Leonard about the last time he visited a gentleman without pants.
"
s01e06_scene003_0715_0735	"Leonard and Sheldon are leaving the party now. He crashed the party and Penny doesn't even want him here. She might just want to be friends with him.
"
s02e11_scene003_0684_0702	"Assistant doesn't understand Sheldon's conversation with his grandmother. Howard and Assistant will take it as a good sign for Sheldon and Penny and move on with their relationship.
"
s01e13_scene005_0797_0817	"Gablehouser, Howard and Leonard are going to play AA versus PMS for 10 points. The first question is ""What is the isospin singlet partner of the pi-zero meson?"".
"
s01e06_scene000_0029_0049	"Wolowitz shot Sheldon in the back. Howard shot him for a good reason, because he was leading them into disaster. Leonard and Sheldon are talking about the Holocaust.
"
s01e02_scene007_0944_0964	"Penny doesn't want to assume Leonard and Sheldon are jerks, because most of the men she's known happened to be jerks. Raj is a doll.
"
s01e10_scene000_0122_0142	"The girl picked to play Mimi, she dropped out and they asked Penny to replace her. Penny and Leonard are going to see a movie this Friday at 8.
"
s02e04_scene003_0612_0632	"Howard can't make it to the reception for Raj's article on Saturday. Leonard and Sheldon won't be able to make it, too. Raj is celebrating a tremendous accomplishment.
"
s01e11_scene000_0107_0127	"Leonard will have to excuse Sheldon, because he's a germaphobe. Sheldon is not contagious, but he is a bit of a germafobe.
"
s01e08_scene004_1112_1132	"Lalita and Sheldon ate, she lectured Sheldon on the link between gum disease and heart attacks. Sheldon is not going to see Lalita again as he has a dentist.
"
s01e03_scene000_0091_0103	"Leonard, Sheldon and Howard are angry that somebody has just clicked 'Buy It Now'. Sheldon is a rogue knight elf and Howard is a sword master.
"
s01e03_scene003_0560_0568	Well, as usual, Wolowitz has the solution. I happen to know a place where there are plenty of eligible women... ...and Leonard could have his pick.
s01e16_scene004_0548_0568	"Leonard needs a DVD burner. Penny will get him a sweater as a gift. It's a fun sweater with a bold geometric print. It should be something fun.
"
s01e06_scene005_1183_1203	"Howard is looking for Koothrappali. Sheldon is coming to give him a ride home, but he doesn't see him. He's not the Marvel Comics Thor, but the original Norse god.
"
s01e12_scene002_0339_0359	"Penny doesn't see the big deal about Leonard getting friends with Leonard. Sheldon and Howard liked Leonard. Penny has never excelled at anything and she's not going to give up.
"
s01e09_scene001_0286_0306	"The day Sheldon wins a Nobel Prize is the day he begins his research on the drag coefficient of tassels on flying carpets. Howard thinks Sheldon's mama's research methodology is flawed, but they have to do this.
"
s01e16_scene001_0213_0233	"Leonard has left. Penny will throw a surprise birthday party for Leonard for his birthday. She doesn't care for chitchat. Sheldon doesn't see this as a promising endeavor.
"
s01e15_scene009_1192_1212	"Missy is proud of her brother, Sheldon, who is a rocket scientist. Sheldon doesn't want to believe it, but Missy keeps bragging about him.
"
s02e14_scene008_1156_1176	"Penny and Sheldon are having dinner tomorrow night. Penny will wear her new beret. Leonard will wear a beret too. Sheldon congratulates him on his victory.
"
s01e16_scene000_0127_0147	"Leonard has never had a birthday party. When he was little, he would think his parents would change their mind and surprise him. This one birthday, he came home from his cello lesson and saw strange cars parked out front. He heard whispering and smelled chocolate cake.
"
s01e02_scene002_0499_0501	"Leonard and Penny don't understand the joke he's telling them. It's a joke, but he didn't tell it the right way, so Penny doesn't get it.
"
s01e03_scene002_0382_0402	"Leonard and Lesley are going on a date. They will stipulate the date goes well and move to the key variable, which is a good-night kiss.
"
s01e08_scene002_0595_0615	"Raj's father wanted him to be a gynecologist. Raj can barely look a woman in the eye. Raj is not going to let his parents control his future. Penny will give him a computer with a Webcam.
"
s01e13_scene005_0957_0977	"Gablehouser wants AA to answer correctly and he will give him the match. Howard doesn't have it, so GablehOUSer will give it to AA.
"
s01e10_scene007_0936_0956	"Toby was abused in the Philippines by a clubfooted Navy chaplain. He has a genetic predisposition to inadequate serotonin production. Sheldon wants Toby to have fun with it and play it subtextually.
"
s01e15_scene000_0062_0082	"Leonard is late. Howard is working on a project that may take him up on the next space shuttle. Sheldon is happy to see him.
"
s01e02_scene002_0479_0499	"Leonard and Sheldon will get out of Penny's hair. Sheldon wants Penny to know that she doesn't have to live like this and he's here for her.
"
s01e15_scene001_0216_0236	"Missy doesn't want Sheldon to stay with them tonight as Shelly doesn't like company. Sheldon is a genius because he's a genius. Sheldon will tell his mom that he weighs 165 pounds and has regular bowel movements.
"
s01e14_scene008_1111_1131	"Leonard hired some guys to help him move a big thing. It's too big for Sheldon to move. Sheldon is angry and wants Leonard to eat him.
"
s02e11_scene002_0451_0471	"Leonard had a motorcycle accident. He couldn't even get it started. Penny is worried about him. He doesn't know how fast he was going.
"
s01e02_scene005_0574_0594	"Leonard is worried that if Penny wakes up there will be no reasonable explanation as to why Sheldon and Penny are there. Sheldon gives him an explanation, but Leonard is not convinced.
"
s01e04_scene010_1048_1068	"Mrs Cooper and Sheldon are going to have a shower, take a shower and get off the house. Mrs Cooper reminds Sheldon about all the ass-kickings from the neighbor kids. Sheldon wishes the death ray had worked.
"
s01e04_scene006_0491_0511	"Sheldon and Penny are going to go to a warehouse store tomorrow to buy tampons in bulk. Penny is going to take a while to recover from today.
"
s01e06_scene003_0835_0855	"Leonard understands Kurt's impulse to try to physically intimidate him, because he can't compete with him on an intellectual level. Leonard calls Kurt an animalistic puffery. Penny doesn't agree.
"
s01e03_scene001_0268_0288	"Leonard is done with Penny. He wants to go after Olivia Geiger, the dietitian at the cafeteria. Sheldon and Raj don't think he has a shot at her.
"
s01e16_scene000_0027_0047	"Penny, Sheldon and Raj are playing Tetris on Leonard's birthday. Leonard will get a free birthday cheesecake on Saturday, so they will see him on Saturday.
"
s02e04_scene003_0532_0552	"Howard, Sheldon and Leonard haven't met their social obligations yet. Raj got a lackey this afternoon. Raj will put it on his calendar, but start thinking of a reason why he can't go.
"
s02e14_scene004_0734_0754	"Penny might have to find a cheaper place to live. Leonard doesn't want her to move, because moving is a big deal and the boxes have to be clean.
"
s01e09_scene007_1109_1114	"Howard tried to blow up his head, but no one tried to do it. No one hit him, but Howard hit him. He was hit by someone.
"
s02e11_scene002_0471_0491	"Leonard's bike landed on David's leg. Penny will help him with Speed Racer. David is a physicist. Penny and David are indoors-y and pale.
"
s01e14_scene008_1131_1133	Leonard!
s01e14_scene004_0430_0450	"Sheldon wants to go back to Bell's lab to watch him invent the telephone. Raj and Howard don't think it's a good idea as Mrs. Bell is deaf.
"
s01e16_scene010_0992_1012	"Leonard had a colonoscopy. He thought it was a surprise party for his birthday, but it was Howard's idea to keep him out of the apartment so he could have it.
"
s02e04_scene004_0695_0715	"Penny and Raj are getting ready for a party. They are going to drink champagne. Raj got there in a limo, because they sent him aLimo.
"
s01e03_scene007_0877_0897	"Leonard and Sheldon are going to meet. It could go well, or it could go badly. Sheldon would have stopped at, 'It could go poorly'.
"
s01e03_scene004_0598_0600	Howard (to Leonard)I've been there. You're in for a treat.
s01e13_scene005_0757_0777	"Dr Gablehouser and Leonard will take their seats. Leslie has PMS. Leonard gives her a T-shirt. She will wear it for a few days.
"
s01e04_scene004_0345_0365	"Penny is not leaving enough space between cars. Sheldon wants her to slow down, because the doors are connected by relays and the first door closing creates a change of air pressure.
"
s02e11_scene000_0022_0042	"Sheldon, Howard, Raj and Leonard are discussing Kryptonian condiments. Superman's body is Kryptonian, therefore his sweat is Kryptonite. The only way to destroy a rogue Kryptonian hot dog is to use mustard.
"
s01e05_scene003_0530_0550	"Penny and Sheldon shouldn't be standing in the living room. Leonard has had girls over before, but there's usually planning, courtship and advance notice. Sheldon booked a cruise to the Arctic to see a solar eclipse.
"
s02e14_scene008_1196_1212	"Leonard is going to write songs about him. Sheldon will sing one about Leonard and Raj. They are going to listen to them. They will sing it to each other.
"
s01e17_scene005_0823_0843	"Penny thinks he's the kind that gets into a relationship for light-years. Sheldon would not say that. A light-year is a unit of distance, not time.
"
s02e08_scene005_0589_0609	"Leonard went to the office. Sheldon doesn't believe him. He would have liked it better if Leonard had told him he was going to theOffice.
"
s01e06_scene003_0815_0835	"Kurt is talking to Penny. Sheldon and Leonard are talking to Leonard. Kurt is trying to intimidate Leonard. Penny is being nice to Kurt. Leonard understands Kurt's impulse.
"
s02e15_scene005_0812_0832	"Beverley will use Sheldon's scan data for her research. Sheldon has always hated how his right frontal lobe looks in pictures. Beverley thinks it's a common complaint among men.
"
s01e08_scene001_0377_0397	"Howard will call Raj with a time and place for a date. Raj didn't want to make this one, so he will make his own date.
"
s02e18_scene005_0848_0868	"Leonard, Raj, Sheldon, Howard and Penny have 128 assorted Penny Blossoms ready to ship. Sheldon is worried about the negativity on the factory floor, but Raj is trying to calm them down.
"
s01e08_scene000_0090_0110	"Raj's parents are comfortable with limited earning potential. Dr Koothrappali has good news for Raj. He will gather his friends and they will meet him.
"
s02e09_scene005_0712_0732	"Raj, Howard and Sheldon are trying to figure out how to circumvent Stephanie's inevitable rejection of a relationship with a man who wants to kill all the other men on the planet.
"
s02e13_scene007_1018_1038	"Penny and Leonard are worried about Sheldon. Sheldon passes out all the time. Sheldon has made progress in bonding with Kripke. Sheldon is going to have to let one of his friendships go.
"
s02e12_scene006_0689_0709	...I just want to apologize. For some things that I have said. About you. I've been informed that you have feelings... ...and apparently, I have hurt them.
s02e11_scene001_0392_0412	"Penny has given Sheldon an elf sticker that says ""To Sheldon"". Sheldon is going to kill himself. Howard and Raj are whispering to him.
"
s01e03_scene003_0540_0560	"Sheldon is going to power down for two weeks. Wolowitz has the solution. Sheldon will go to the pet stores to look at cats.
"
s02e15_scene001_0152_0172	"The elevator in Leonard's building has been nonfunctional for a long time. There are 24 to 36 people living in the building. Penny's mother is Leonard's mother.
"
s02e15_scene002_0456_0468	"Leonard has a new girlfriend. She's warm, she's loving, and she doesn't glue electrodes to your head to measure your brain waves while potty training. When he was a kid, he had to attach his own electrodes to his head.
"
s02e14_scene002_0340_0360	"Sheldon would be willing to be a house pet to a race of super-intelligent aliens. Sheldon wants Leonard to ask him why. Leonard will do it.
"
s01e02_scene010_1148_1168	"Howard, Raj, Penny, Sheldon and Leonard are going to assemble Penny's stereo. Penny has a flatscreen TV, so Sheldon and Howard will put her stereo back there.
"
s02e03_scene004_0478_0498	"Penny got to level 25 and reached Purple Lotus Swamp. She is in Sheldon's bedroom. Leonard gave her an emergency key to his bedroom.
"
s02e09_scene002_0357_0377	"Steph slipped one of her earrings in the post-op X-ray. She put it in her pocket and got the hell out of the room.
"
s02e11_scene000_0062_0082	"Howard, Raj and Sheldon are discussing Superman's uniform. Sheldon thinks Superman would have taken his uniform to a Kandorian dry-cleaner before he left the bottle. Sheldon won the MacArthur genius grant last year.
"
s01e03_scene001_0208_0228	"Leonard is infatuated with Penny and the guy she's kissing. Howard is also infatuation with Penny but he's not sure what it is.
"
s02e13_scene006_0911_0931	"Sheldon has a fear of heights. He feels like an inverse tangent function that's approaching an asymptote. Kripke understood all of it, but Sheldon didn't.
"
s02e18_scene003_0501_0521	"Penny's marketing and distribution channels are the waitresses at her work and a cute shop. Sheldon is thinking of setting her up with a hosted turnkey e-commerce system to start.
"
s02e08_scene002_0337_0357	"Sheldon wants to play with a Mars rover. Howard doesn't want to drive it, because it's getting late and he has a meeting with a girl.
"
s02e12_scene004_0435_0455	"Kripke is going to name his robot Scrap Metal. Sheldon and Leonard are going to defeat Kripke's robot because theirs is better in design and execution.
"
s02e16_scene000_0023_0043	"Sheldon, Raj and Howard didn't attend the Physics Department paintball strategy meeting. Howard's mom has spider veins. Sheldon wants to see a doctor's note.
"
s02e06_scene001_0212_0232	"Howard Wolowitz is the co-designer of the International Space Station's liquid-waste-disposal system. Dr. Cooper has read his paper on grand unification using string-network condensates.
"
s01e04_scene006_0511_0531	"Penny is going to buy 30 years' worth of tampons for her mother. Sheldon wants her to buy them for her. Penny's mother went into menopause.
"
s02e15_scene004_0739_0759	"Penny was auditioning for an antidepressant commercial all morning. She doesn't want to get her daddy's approval for the commercial, because she doesn't know who she is.
"
s02e06_scene001_0252_0272	"Sheldon will show how neutrinos emerge from a string-net condensate. Pishkin-Wolowitz liquid-waste-disposal system is turning a few heads as well.
"
s02e15_scene000_0028_0048	"Penny wants to postpone the meeting with Leonard and Howard until she has more time to prepare. Leonard is busy and can't make it, but Penny finds a sound that fits the meeting.
"
s02e03_scene011_1105_1125	"Tom is a paramedic with the fire department and he's going to med school. He likes the outdoors and strong women who initiate sex. Penny is a five-year-old.
"
s02e08_scene008_0930_0950	Howard (his phone rings)Oh, Stephanie, thanks for calling me back. I was worried. Oh. Uh-huh. Uh-huh. Uh-huh. No, I understand. Sure, we can be friends. Absolutely. Thanks for calling. Yeah, you have a nice day too.
s02e08_scene005_0569_0589	"Leonard didn't think this through. He will tell someone that he went to the office, but he is not going there. Sheldon will tell them that Leonard went there.
"
s02e09_scene000_0042_0062	"Leonard has entered into a new romantic relationship. Sheldon sent Penny a message about it. Penny is aware of it. She will tell her about it later.
"
s02e16_scene001_0256_0276	"Sheldon is done with the civet cat. Raj thinks Howard was making a back-scratching metaphor, but Sheldon thinks there was some actual scratching involved.
"
s02e11_scene005_0802_0822	"Sheldon will open Penny's gift to him first and then excuse himself, feigning digestive distress. Then he will look up the price of her gift online.
"
s01e06_scene004_1097_1117	"Penny had a lot to drink tonight. She's angry with Kurt and she might have been drinking because of that. Leonard thinks it might have something to do with what's going on.
"
s02e11_scene000_0122_0142	"Leonard and Raj think the guy got lucky. Howard is more of a Zac Efron kind of guy and would like to see him with Zac EFron.
"
s02e06_scene004_0596_0616	"Leslie will let Sheldon keep his lunch money today. Dr. Cooper is on the verge of a breakthrough. He will have to be respectful and quiet if he wants to stay.
"
s02e08_scene005_0489_0509	"Voice from television informs that due to the loss of data, the Mars rover will most likely be unable to determine the cause of the malfunction. Howard worked on the Mars Rover.
"
s02e04_scene000_0102_0122	"Raj is one of People magazine's 30 Under 30 to Watch. Leonard, Howard and Sheldon are congratulating him on hisiscovery of Planet Bollywood and his recognition in the magazine.
"
s02e12_scene007_0753_0773	"Leonard, Sheldon, Raj and Kripke are having a fight. The Crippler is reducing the Chevy Cavalier to rubble. Sheldon and Leonard have accepted the challenge. They can't run away from the fight.
"
s01e06_scene003_0675_0695	"Girl in Butterfly Costume (dropping onto sofa next to Raj and Sheldon) and Leonard are watching 'MAMA'S ROOM' on StarEO. Sheldon is the Doppler effect.
"
s02e03_scene005_0562_0582	"Gablehauser is busy today. Dr. Sheldon wants him to mediate all intra-departmental disputes, but he is busy. He will call Dr. Cooper a colorful name.
"
s02e15_scene001_0292_0312	"Leonard's mother Beverley is here. Beverley wants Leonard to find out what cologne the girl's father wore. Penny wasn't a slugger anymore.
"
s02e15_scene003_0610_0630	"Howard's wife brought her husband to work. Beverley wants Leonard to show her his laboratory at 1, but he's not in a hurry. He'll tell them more about their secret love.
"
s02e04_scene004_0715_0735	"Penny is wearing a outfit that Raj didn't like. He was hoping for something a little more donkulous, but it's all he got tonight.
"
s01e04_scene007_0575_0595	"Leonard wants to know more about Sheldon's egg research, but it was a dead end. Sheldon wants to work on fish. Sheldon read an article about scientists who inserted DNA from luminous jellyfish into other animals and he thought of fish nightlights.
"
s02e03_scene010_0976_0996	"Penny is at the gate to the Treasury of the Ancients. She will stay close to the wall and avoid the mummies. She is playing very well for a woman of 23.
"
s02e06_scene000_0002_0022	So if you are considering going into experimental physics... ...my door is always open. Again, I'm sorry that the demonstration didn't quite work out. Now we know what happens... ...when you accidentally spill peach Snapple into a helium-neon laser. The short answer is don't.
s01e05_scene002_0349_0369	"Lesley wants to let Leonard know that she's sexually available. Leonard thought she wasn't interested in him, until he saw her handling a piece of wood between his legs.
"
s02e18_scene004_0740_0760	"Leonard, Sheldon, Penny and Howard are preparing for the fifth annual East Rutherford, New Jersey, Gay, Lesbian, Bisexual and Transgender Alliance Luau.
"
s02e12_scene009_1062_1082	"Kripke, Sheldon and Raj are going to meet with him. They are prepared for anything he can throw at them and they are ready for it.
"
s02e04_scene002_0439_0459	"Leonard, Sheldon and Howard don't know what the business of this place is. Gablehauser tells them that it's money, which makes them whisper to each other.
"
s01e11_scene006_0739_0759	"Sheldon has been sick before, once when he was 15 and studying at the Heidelberg Institute in Germany. He was visiting a visiting professor there.
"
s02e11_scene000_0042_0062	"Leonard and Sheldon explain to Howard and Sheldon that Superman's body is Kryptonian and his sweat is Kryptonite. Superman is invited for dinner in the bottle city of Kandor. Before dinner, his host invites him for Kryptonian tetherball. Superman works up a sweat and comes back to Earth stained with Kryptonian stains.
"
s01e17_scene005_0883_0903	Anyway, in 1935, Erwin Schrödinger, in an attempt to explain... ...the Copenhagen interpretation of quantum physics, he proposed an experiment. A cat is placed in a box with a sealed vial of poison... ...that will break open at a random time. Now, since no one knows when or if the poison has been released... ...until the box is opened, the cat can be thought of as both alive and dead.
s02e16_scene006_0908_0928	"Leslie had to reduce the number of people going to the wedding and Howard didn't make the cut. He's a little uncomfortable about it.
"
s02e13_scene005_0672_0692	"Raj changed the amino acid for Sheldon's favorite amino acid to Lysine. Sheldon believes he has isolated the algorithm for making friends. Leonard and Howard will hear him out.
"
s01e15_scene000_0022_0042	"Raj has panic attacks, agoraphobia and obsessive-compulsive disorder. There is a hot girl in Sheldon's office. Leonard and Howard don't know what's going on.
"
s02e09_scene008_0988_1008	"Stephanie did a beautiful job on Sheldon's war wound. Sheldon is proud of Stephanie's work. Leonard doesn't like that Sheldon is not talking.
"
s01e05_scene005_0923_0931	"Leonard is happy with the woman who is making him happy. Sheldon doesn't care that Leonard is with a woman who may or may not want him to be happy.
"
s02e11_scene001_0252_0272	"Leonard was working with Dave Underhill, who is a black-diamond skier, collects vintage motorcycles, and plays in a rock band.
"
s02e15_scene004_0699_0719	"Penny's mom took Sheldon to the hospital to get a brain scan. Leonard is drinking alcohol. Penny invites Leonard to come in. Penny's mother likes looking at brains and Sheldon likes getting his brain scanned.
"
s01e14_scene004_0350_0370	"Raj, Sheldon and Howard are going to take turns with the time machine, but they need to set some ground rules. Howard can't keep it, because he might meet a girl at his friend's house.
"
s02e14_scene004_0594_0614	"Penny used Sheldon's money to pay her rent. The Department of Water and Power thought she would enjoy the ambience. Penny had $14 left over so she spent it.
"
s02e15_scene003_0650_0670	"Leonard, Beverley and Howard are in an ersatz homosexual relationship. Beverley doesn't want to see the paper the Italians wrote. Howard didn't say that to her.
"
